ID_OPERATORE;ID_RAPPORTO_LAVORATIVO;ID_GIORNO;GIORNO;ORA_INIZIO;ORA_FINE;APPUNTO_RICEVIMENTO;ID_RAPLAV_AMBULATORIO
8925;1;5;Venerdi;10:00;11:00;SU APPUNTAMENTO;16664
4298;1;2;Martedi;16:00;17:00;;7192
15605;1;4;Giovedi;12:30;15:00;;28878
15605;1;5;Venerdi;17:30;19:00;;28878
6649;1;2;Martedi;08:00;11:00;;11201
6649;1;1;Lunedi;12:00;15:00;;11201
6648;1;5;Venerdi;14:00;17:20;14:00-15:40 SU PRENOTAZIONE;11200
6648;1;4;Giovedi;17:30;20:00;17:30-18:40 SU PRENOTAZIONE;11200
5010;1;4;Giovedi;11:00;12:30;;8409
5010;1;3;Mercoledi;08:30;10:30;;8409
12868;1;5;Venerdi;17:00;18:30;;23756
12868;1;1;Lunedi;09:00;10:00;;23757
12889;1;3;Mercoledi;15:30;18:00;;23798
12889;1;4;Giovedi;13:00;15:00;;23798
12889;1;5;Venerdi;09:30;12:00;;23798
15424;1;5;Venerdi;16:00;19:00;SU APPUNTAMENTO;28524
13693;1;5;Venerdi;17:30;19:00;CON DECORRENZA DAL 01/03/2019;25365
13529;1;2;Martedi;16:00;19:00;VISITE SU APPUNTAMENTO;25076
13529;1;1;Lunedi;09:00;12:00;;25076
14554;1;5;Venerdi;16:00;18:00;;26964
15194;1;5;Venerdi;15:00;16:00;;28128
14426;1;2;Martedi;12:00;13:00;;26700
14426;1;2;Martedi;09:30;11:00;;26698
14426;1;3;Mercoledi;09:30;11:00;;26698
14426;1;5;Venerdi;17:30;19:00;;26698
14426;1;4;Giovedi;09:00;10:30;;26699
10093;1;5;Venerdi;14:00;15:00;;18715
9815;1;5;Venerdi;09:00;10:00;SU PRENOTAZIONE;18131
13761;1;5;Venerdi;17:30;19:00;;25498
10370;1;1;Lunedi;09:00;13:00;;19187
10370;1;2;Martedi;14:00;18:00;SU APPUNTAMENTO TELEFONANDO ALLA SEGRETERIA ( 0141/216657 );19187
10370;1;3;Mercoledi;09:00;13:00;;19187
13179;1;1;Lunedi;09:00;12:00;SU APPUNTAMRENTO.;960
15471;1;5;Venerdi;09:30;12:30;ACCESSO SU PRENOTAZIONE;28622
12750;1;4;Giovedi;14:00;15:00;;23536
12750;1;2;Martedi;11:00;12:00;;23536
10081;1;2;Martedi;13:00;15:30;SU APPUNTAMENTO TELEFONICO;18697
13496;1;4;Giovedi;10:30;12:00;;25010
10058;1;5;Venerdi;18:00;19:00;SU APPUNTAMENTO;18656
10046;1;5;Venerdi;10:00;13:00;SU APPUNTAMENTO;18633
10072;1;4;Giovedi;10:30;11:30;;18679
10072;1;5;Venerdi;15:00;16:00;;18680
14512;1;2;Martedi;15:00;18:30;SU APPUNTAMENTO;26878
13963;1;4;Giovedi;15:00;16:00;SU APPUNTAMENTO;25822
13733;1;5;Venerdi;16:00;18:15;;25431
13733;1;3;Mercoledi;09:00;11:00;SOLO BILANCI DI SALUTE SU APPUNTAMENTO;25431
10245;1;5;Venerdi;16:00;17:00;ACCESSO DIRETTO;18976
10245;1;4;Giovedi;10:30;12:30;ACCESSO SU PRENOTAZIONE;18976
10245;1;4;Giovedi;09:30;10:30;ACCESSO DIRETTO;18976
12022;1;5;Venerdi;09:00;10:00;;22154
12022;1;4;Giovedi;18:00;19:00;;22154
12022;1;3;Mercoledi;09:00;10:00;;22154
12022;1;2;Martedi;18:00;19:00;;22154
12022;1;1;Lunedi;09:00;10:00;;22154
11648;1;3;Mercoledi;09:00;12:00;SU APPUNTAMENTO SALVO URGENZE;21499
11648;1;4;Giovedi;15:00;18:00;SU APPUNTAMENTO SALVO URGENZE;21499
11648;1;5;Venerdi;09:00;11:00;SU APPUNTAMENTO SALVO URGENZE;21499
10111;1;4;Giovedi;17:30;19:00;;18748
10111;1;5;Venerdi;13:30;15:00;;18748
10111;1;5;Venerdi;17:30;19:00;;18748
10243;1;4;Giovedi;15:30;16:30;ACCESSO DIRETTO;18973
10243;1;4;Giovedi;16:30;18:30;ACCESSO SU PRENOTAZIONE;18973
10243;1;5;Venerdi;09:30;10:30;ACCESSO DIRETTO;18973
10243;1;5;Venerdi;10:30;12:30;ACCESSO SU PRENOTAZIONE;18973
10245;1;3;Mercoledi;16:00;17:00;ACCESSO DIRETTO;18976
10245;1;3;Mercoledi;17:00;19:00;ACCESSO SU PRENOTAZIONE;18976
6648;1;3;Mercoledi;14:00;17:20;14:00-15:40 SU PRENOTAZIONE;11200
6648;1;2;Martedi;17:30;20:00;17:30-18:40 SU PRENOTAZIONE;11200
11094;1;5;Venerdi;15:00;16:00;;20553
14595;1;5;Venerdi;16:00;19:00;;27024
15241;1;4;Giovedi;10:00;12:00;BILANCI-VACCINI-URGENZE;28199
15072;1;5;Venerdi;15:00;18:00;ACCESSO SU PRENOTAZIONE;27933
15072;1;4;Giovedi;09:00;12:00;ACCESSO SU PRENOTAZIONE;27933
14823;1;5;Venerdi;10:00;12:30;;27469
15136;1;4;Giovedi;10:00;12:00;;28031
15136;1;4;Giovedi;17:30;18:30;;28031
15136;1;5;Venerdi;10:00;12:00;;28031
15136;1;5;Venerdi;17:30;18:30;;28031
15230;1;5;Venerdi;14:30;17:30;;28182
15431;1;4;Giovedi;10:00;11:00;OGNI 15 GIORNI;28536
15431;1;5;Venerdi;09:30;12:30;TELEFONARE ALLO  0174/1968019 PER LE PRENOTAZIONI;28535
15431;1;4;Giovedi;15:00;18:00;TELEFONARE ALLO  0174/1968019 PER LE PRENOTAZIONI;28535
15235;1;2;Martedi;16:00;18:00;;28189
15235;1;3;Mercoledi;13:00;15:00;SOLO SU APPUNTAMENTO TELEFONANDO AL 3713544445;28189
15235;1;4;Giovedi;11:00;13:00;SOLO SU APPUNTAMENTO TELEFONANDO AL 3713544445;28189
6648;1;1;Lunedi;14:00;17:20;14:00-15:40 SU PRENOTAZIONE;11200
6647;1;5;Venerdi;09:00;12:00;;11199
6647;1;4;Giovedi;15:30;18:30;;11199
6647;1;3;Mercoledi;08:30;11:30;;11199
6647;1;2;Martedi;15:30;18:30;;11199
6647;1;1;Lunedi;15:00;18:00;;11199
6646;1;5;Venerdi;09:00;12:00;;11198
6646;1;4;Giovedi;15:00;18:00;;11198
6646;1;3;Mercoledi;09:00;12:00;;11198
6646;1;2;Martedi;09:00;12:00;;11198
15078;1;5;Venerdi;09:00;11:00;;27948
15400;1;2;Martedi;10:00;11:00;SU APPUNTAMENTO;28477
15400;1;5;Venerdi;15:00;16:00;;28477
15400;1;2;Martedi;09:00;10:00;;28477
8849;1;4;Giovedi;10:00;12:00;SU APPUNTAMENTO;16510
14226;1;5;Venerdi;15:00;18:30;;26302
14226;1;4;Giovedi;09:00;12:00;;26302
14226;1;3;Mercoledi;15:00;18:30;;26302
15460;1;3;Mercoledi;12:00;15:00;VISITE SU APPUNTAMENTO TELEFONANDO DA LUN. A VEN. DALLE 8 ALLE 10: 3920915474 ;28600
12520;1;5;Venerdi;14:00;17:00;;23099
12847;1;4;Giovedi;14:30;16:00;;23714
12497;1;4;Giovedi;16:00;18:00;;23063
